"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"France","FRA",20201201,"C6: Stay at home requirements",2,"National","From November 28, physical activity and walks will be authorized within a perimeter of 20 kilometers and for a maximum duration of 03:00. The authorization to travel within a radius of 20 km only applies to sporting and outdoor activities and is not intended to facilitate visits to friends and family.  https://web.archive.org/save/https://www.gouvernement.fr/en/coronavirus-covid-19","france","require not leaving house except for essentials"
"Gabon","GAB",20201124,"C6: Stay at home requirements",2,"National","It's mandatory to wear a face mask in public. A curfew is in place from 10pm to 5am.  Source: http://web.archive.org/web/20201207172236/https://www.smartraveller.gov.au/destinations/africa/gabon","gabon","require not leaving house except for essentials"
"United Kingdom","GBR",20201203,"C6: Stay at home requirements",0,NA,"Even the clinically vulnerable are encouraged to leave the house, go to school and shops.    http://web.archive.org/web/20201207234123/https://www.gov.uk/guidance/tier-3-very-high-alert?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae","united kingdom","no measures"
"Georgia","GEO",20201201,"C6: Stay at home requirements",3,"Regional","The Government of Georgia imposed movement restrictions in major cities between 9 PM and 5 AM. During the restricted time, public and private transportation (including walking) is not permitted, unless it is for an essential need. Also, there is in place a recommendation for people over the age of 70 to remain at home.  Link: https://archive.fo/rII13 and https://archive.fo/rII13","georgia","require not leaving house with min exceptions"
"Ghana","GHA",20201124,"C6: Stay at home requirements",0,NA,"No policy change","ghana","no measures"
"Guinea","GIN",20201201,"C6: Stay at home requirements",2,"Regional","No changes. ","guinea","require not leaving house except for essentials"
"Gambia","GMB",20201124,"C6: Stay at home requirements",0,NA,"No changes  https://web.archive.org/save/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/?_ga=2.222803228.685612913.1606144271-1301692634.1606144271","gambia","no measures"
"Greece","GRC",20201201,"C6: Stay at home requirements",2,"National","No change in policy.","greece","require not leaving house except for essentials"
"Greenland","GRL",20201029,"C6: Stay at home requirements",0,NA,"It remains the case that people in risk groups are not being strongly recommended to shield at home. “What should you do if you belong to a particular risk group?” “The health authorities recommend that you comply in particular with the general hygiene advice and advice on how to move in society.” “In addition, the health authorities recommend that you think about how you can protect yourself as much as possible from becoming infected.” For example, “Stay home as much as possible.” Source: http://web.archive.org/web/20201108224459/https://nun.gl/emner/borgere/coronavirus_emne/risikogrupper_og_saerligt_saarbare?sc_lang=da","greenland","no measures"
"Guatemala","GTM",20201129,"C6: Stay at home requirements",0,NA,"No policy change.    https://web.archive.org/web/20201205084210/https://covid19.gob.gt/disposiciones.html","guatemala","no measures"
"Guam","GUM",20201123,"C6: Stay at home requirements",1,"National","Staying at home is recommended especially for the elderly and the sick people.  Source: http://web.archive.org/web/20201130173638/https://guamrecovery.com/guam-is-in-pandemic-condition-of-readiness-1-pcor-1-effective-at-1201-a-m-on-sunday-august-16-2020-through-1159-p-m-on-saturday-august-29-2020/","guam","recommend not leaving house"
"Guyana","GUY",20201201,"C6: Stay at home requirements",2,"National","No updates:  https://web.archive.org/web/20201206192027/https://officialgazette.gov.gy/images/gazette2020/nov/Extra_30NOV2020.pdf","guyana","require not leaving house except for essentials"
"Hong Kong","HKG",20201130,"C6: Stay at home requirements",1,"National","Announced on November 30, the Government strongly urges all members of the public to stay at home as much as possible.  Source: http://web.archive.org/web/20201205074504/https://www.info.gov.hk/gia/general/202012/01/P2020120100061.htm","hong kong","recommend not leaving house"
"Honduras","HND",20201115,"C6: Stay at home requirements",2,"National","No policy change.  http://web.archive.org/web/20201206092842/https://www.sica.int/coronavirus/observatorioSICACOVID19/medidas/honduras","honduras","require not leaving house except for essentials"
"Croatia","HRV",20201129,"C6: Stay at home requirements",0,NA,"No change found. ","croatia","no measures"
"Haiti","HTI",20201124,"C6: Stay at home requirements",2,"National","No policy change.  http://web.archive.org/web/20201206102122/https://www.gov.uk/foreign-travel-advice/haiti/coronavirus","haiti","require not leaving house except for essentials"
"Hungary","HUN",20201123,"C6: Stay at home requirements",2,"National","A curfew is in effect between 8am and 5pm. Everyone must be home by 8pm.  Source: http://web.archive.org/web/20201130162224/https://koronavirus.gov.hu/aktualis","hungary","require not leaving house except for essentials"
"Indonesia","IDN",20201119,"C6: Stay at home requirements",1,"Regional","Refer to notes for IDN C2 Dated Nov 19 2020.    In general: acc. to the US Embassy in Indonesia: ""Movement Restrictions: Is a curfew in place? No"" - https://web.archive.org/web/20201206224550/https://id.usembassy.gov/u-s-citizen-services/covid-19-information/","indonesia","recommend not leaving house"
"India","IND",20201123,"C6: Stay at home requirements",2,"Regional","In addition to previous night curfews announced Nov 20/21 in Madya Pradesh state in the districts of Bhopal, Indore, Gwalior, Ratlam and Vidisha, additional states have implemented night curfews.     Punjab: Night curfew from 10pm to 5am starting Dec 1.     Rajasthan: Section 144 (prohibiting the gathering of four or more people in a specified area) in all districts. Additional night curfew in 8 districts - Jaipur, Jodhpur, Kota, Bikaner, Udaipur, Ajmer, Alwar and Bhilwara    Gujarat: Night curfew from 9pm to 6am in Rajkot, Surat and Vadodara until further orders    Himachal Pradesh: night curfew from Nov 24 to Dec 15 in 4 districts - Mandi, Shimla, Kullu and Kangra    https://web.archive.org/web/20201130192534/https://www.hindustantimes.com/india-news/govt-to-hold-talks-with-farmers-on-december-1-as-protests-intensify/story-caNKEKvCJIfmPXrBkChBoI.html      Nov 28: the entire Manipur state instituted a night curfew from 6pm to 4am until Jan 1.  Manipur government has announced a night curfew from 6 pm to 4 am in the state till the end of this year    https://web.archive.org/web/20201130193637/https://www.oneindia.com/india/coronavirus-outbreak-in-view-of-covid-19-manipur-announces-night-curfew-till-december-end-3182539.html  ","india","require not leaving house except for essentials"
"Ireland","IRL",20201124,"C6: Stay at home requirements",2,"National","Residents are asked to stay home except for essential activities under the Level 5 restrictions.  https://web.archive.org/web/20201201204457/https://www.gov.ie/en/publication/2dc71-level-5/","ireland","require not leaving house except for essentials"
